Fill Template Location:
    pos_v    pos_h    hole_v   hole_h 
       0       0       1       1
       0       2       1       0
       2       2       1       1
       2       0       0       1
       1       1       1       1
       0       4       1       1
       0       6       1       0
       2       6       0       0
       2       4       1       0
       1       5       1       0
       4       4       1       1
       4       6       1       0
       6       6       1       1
       6       4       0       1
       5       5       1       1
       4       0       1       1
       4       2       0       1
       6       2       0       0
       6       0       0       1
       5       1       0       1
       3       3       1       1
       0       8       1       1
       0      10       1       0
       2      10       1       1
       2       8       0       1
       1       9       1       1
       0      12       1       1
       0      14       1       0
       2      14       0       0
       2      12       1       0
       1      13       1       0
       4      12       0       0
       4      14       1       0
       6      14       0       0
       6      12       0       1
       5      13       0       0
       4       8       1       1
       4      10       1       0
       6      10       0       0
       6       8       1       0
       5       9       1       0
       3      11       1       0
       8       8       1       1
       8      10       1       0
      10      10       1       1
      10       8       0       1
       9       9       1       1
       8      12       1       1
       8      14       1       0
      10      14       0       0
      10      12       1       0
       9      13       1       0
      12      12       1       1
      12      14       1       0
      14      14       1       1
      14      12       0       1
      13      13       1       1
      12       8       1       1
      12      10       0       1
      14      10       0       0
      14       8       0       1
      13       9       0       1
      11      11       1       1
       8       0       1       1
       8       2       1       0
      10       2       1       1
      10       0       0       1
       9       1       1       1
       8       4       1       1
       8       6       0       1
      10       6       0       0
      10       4       0       1
       9       5       0       1
      12       4       0       0
      12       6       1       0
      14       6       0       0
      14       4       0       1
      13       5       0       0
      12       0       1       1
      12       2       0       1
      14       2       0       0
      14       0       0       1
      13       1       0       1
      11       3       0       1
       7       7       1       1
       0      16       1       1
       0      18       1       0
       2      18       1       1
       2      16       0       1
       1      17       1       1
       0      20       1       1
       0      22       1       0
       2      22       0       0
       2      20       1       0
       1      21       1       0
       4      20       1       1
       4      22       1       0
       6      22       1       1
       6      20       0       1
       5      21       1       1
       4      16       1       1
       4      18       0       1
       6      18       0       0
       6      16       0       1
       5      17       0       1
       3      19       1       1
       0      24       1       1
       0      26       1       0
       2      26       1       1
       2      24       0       1
       1      25       1       1
       0      28       1       1
       0      30       1       0
       2      30       0       0
       2      28       1       0
       1      29       1       0
       4      28       0       0
       4      30       1       0
       6      30       0       0
       6      28       0       1
       5      29       0       0
       4      24       1       1
       4      26       1       0
       6      26       0       0
       6      24       1       0
       5      25       1       0
       3      27       1       0
       8      24       0       0
       8      26       1       0
      10      26       0       0
      10      24       0       1
       9      25       0       0
       8      28       1       1
       8      30       1       0
      10      30       0       0
      10      28       1       0
       9      29       1       0
      12      28       0       0
      12      30       1       0
      14      30       0       0
      14      28       0       1
      13      29       0       0
      12      24       1       1
      12      26       0       1
      14      26       0       0
      14      24       0       1
      13      25       0       1
      11      27       0       0
       8      16       1       1
       8      18       1       0
      10      18       1       1
      10      16       0       1
       9      17       1       1
       8      20       1       1
       8      22       1       0
      10      22       0       0
      10      20       1       0
       9      21       1       0
      12      20       0       0
      12      22       1       0
      14      22       0       0
      14      20       0       1
      13      21       0       0
      12      16       1       1
      12      18       1       0
      14      18       0       0
      14      16       1       0
      13      17       1       0
      11      19       1       0
       7      23       1       0
      16      16       1       1
      16      18       1       0
      18      18       1       1
      18      16       0       1
      17      17       1       1
      16      20       1       1
      16      22       1       0
      18      22       0       0
      18      20       1       0
      17      21       1       0
      20      20       1       1
      20      22       1       0
      22      22       1       1
      22      20       0       1
      21      21       1       1
      20      16       1       1
      20      18       0       1
      22      18       0       0
      22      16       0       1
      21      17       0       1
      19      19       1       1
      16      24       1       1
      16      26       1       0
      18      26       1       1
      18      24       0       1
      17      25       1       1
      16      28       1       1
      16      30       1       0
      18      30       0       0
      18      28       0       1
      17      29       1       1
      20      28       0       0
      20      30       1       0
      22      30       0       0
      22      28       0       1
      21      29       0       0
      20      24       1       1
      20      26       0       1
      22      26       0       0
      22      24       0       1
      21      25       0       1
      19      27       0       1
      24      24       0       0
      24      26       1       0
      26      26       0       0
      26      24       0       1
      25      25       0       0
      24      28       1       1
      24      30       1       0
      26      30       0       0
      26      28       1       0
      25      29       1       0
      28      28       0       0
      28      30       1       0
      30      30       0       0
      30      28       0       1
      29      29       0       0
      28      24       1       1
      28      26       0       1
      30      26       0       0
      30      24       0       1
      29      25       0       1
      27      27       0       0
      24      16       1       1
      24      18       1       0
      26      18       1       1
      26      16       0       1
      25      17       1       1
      24      20       1       1
      24      22       0       1
      26      22       0       0
      26      20       0       1
      25      21       0       1
      28      20       0       0
      28      22       1       0
      30      22       0       0
      30      20       0       1
      29      21       0       0
      28      16       1       1
      28      18       0       1
      30      18       0       0
      30      16       0       1
      29      17       0       1
      27      19       0       1
      23      23       0       1
      16       0       1       1
      16       2       1       0
      18       2       1       1
      18       0       0       1
      17       1       1       1
      16       4       1       1
      16       6       1       0
      18       6       0       0
      18       4       1       0
      17       5       1       0
      20       4       1       1
      20       6       1       0
      22       6       1       1
      22       4       0       1
      21       5       1       1
      20       0       1       1
      20       2       0       1
      22       2       0       0
      22       0       0       1
      21       1       0       1
      19       3       1       1
      16       8       1       1
      16      10       1       0
      18      10       1       1
      18       8       0       1
      17       9       1       1
      16      12       1       1
      16      14       0       1
      18      14       0       0
      18      12       0       1
      17      13       0       1
      20      12       0       0
      20      14       1       0
      22      14       0       0
      22      12       0       1
      21      13       0       0
      20       8       1       1
      20      10       0       1
      22      10       0       0
      22       8       0       1
      21       9       0       1
      19      11       0       1
      24       8       0       0
      24      10       1       0
      26      10       0       0
      26       8       0       1
      25       9       0       0
      24      12       1       1
      24      14       1       0
      26      14       0       0
      26      12       1       0
      25      13       1       0
      28      12       0       0
      28      14       1       0
      30      14       0       0
      30      12       0       1
      29      13       0       0
      28       8       1       1
      28      10       0       1
      30      10       0       0
      30       8       0       1
      29       9       0       1
      27      11       0       0
      24       0       1       1
      24       2       1       0
      26       2       1       1
      26       0       0       1
      25       1       1       1
      24       4       1       1
      24       6       0       1
      26       6       0       0
      26       4       0       1
      25       5       0       1
      28       4       0       0
      28       6       1       0
      30       6       0       0
      30       4       0       1
      29       5       0       0
      28       0       1       1
      28       2       0       1
      30       2       0       0
      30       0       0       1
      29       1       0       1
      27       3       0       1
      23       7       0       1
      15      15       1       1


Fill Result:
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
